Date,Sea Level (Mean),
1957/01/01,1.363,
1957/01/02,1.156,
1957/01/03,1.335,
1957/01/05,1.371,
1957/01/06,1.186,
1957/01/07,1.066,
1957/01/08,1.775,
1957/01/09,1.367,
1957/01/10,1.103,
1957/01/11,1.475,
1957/01/12,1.175,
1957/01/13,1.295,
1957/01/14,1.118,
1957/01/15,1.199,
1957/01/16,0.972,
1957/01/17,1.205,
1957/01/18,0.992,
1957/01/19,0.835,
1957/01/20,0.675,
1957/01/21,0.665,
1957/01/22,0.981,
1957/01/23,1.058,
1957/01/24,1.077,
1957/01/25,1.046,
1957/01/26,1.121,
1957/01/28,1.018,
1957/01/29,1.035,
1957/01/30,1.044,
1957/01/31,0.973,
1957/02/01,1.084,
1957/02/02,1.047,
1957/02/03,0.828,
1957/02/04,1.153,
1957/02/05,1.059,
1957/02/06,0.988,
1957/02/07,0.961,
1957/02/08,1.108,
1957/02/09,1.03,
1957/02/10,1.44,
1957/02/11,1.194,
1957/02/12,1.257,
1957/02/13,1.144,
1957/02/14,1.198,
1957/02/15,1.225,
1957/02/16,1.471,
1957/02/17,1.274,
1957/02/18,1.265,
1957/02/19,1.25,
1957/02/20,1.346,
1957/02/21,1.363,
1957/02/22,1.207,
1957/02/23,1.074,
1957/02/24,1.254,
1957/02/25,1.049,
1957/02/26,1.146,
1957/02/27,1.175,
1957/02/28,1.08,
1957/03/01,1.275,
1957/03/02,1.373,
1957/03/03,1.24,
1957/03/04,1.241,
1957/03/05,1.275,
1957/03/06,1.398,
1957/03/07,1.14,
1957/03/08,1.14,
1957/03/09,1.234,
1957/03/10,1.327,
1957/03/11,1.556,
1957/03/12,1.445,
1957/03/13,1.099,
1957/03/14,1.023,
1957/03/15,0.975,
1957/03/16,1.054,
1957/03/17,1.068,
1957/03/18,1.084,
1957/03/19,1.098,
1957/03/20,1.169,
1957/03/21,1.564,
1957/03/22,1.458,
1957/03/23,1.298,
1957/03/24,1.299,
1957/03/25,1.381,
1957/03/26,1.128,
1957/03/27,1.222,
1957/03/28,1.191,
1957/03/29,1.143,
1957/03/30,1.148,
1957/03/31,1.2,
1957/04/01,1.356,
1957/04/02,1.167,
1957/04/03,1.36,
1957/04/04,1.263,
1957/04/05,1.248,
1957/04/06,1.203,
1957/04/07,1.484,
1957/04/08,1.335,
1957/04/09,1.401,
1957/04/10,1.51,
1957/04/11,1.375,
1957/04/12,1.238,
1957/04/13,1.328,
1957/04/14,1.148,
1957/04/16,0.927,
1957/04/17,0.989,
1957/04/18,0.918,
1957/04/19,0.968,
1957/04/20,0.907,
1957/04/21,1.205,
1957/04/22,1.035,
1957/04/23,1.033,
1957/04/24,0.99,
1957/04/25,1.181,
1957/04/26,0.916,
1957/04/27,0.986,
1957/04/28,1.045,
1957/04/29,1.069,
1957/04/30,1.197,
1957/05/01,1.221,
1957/05/02,1.515,
1957/05/03,1.448,
1957/05/04,1.292,
1957/05/05,1.103,
1957/05/06,1.068,
1957/05/07,1.1,
1957/05/08,1.098,
1957/05/09,1.127,
1957/05/10,1.078,
1957/05/11,1.056,
1957/05/12,0.994,
1957/05/13,1.109,
1957/05/14,1.065,
1957/05/15,1.105,
1957/05/16,1.236,
1957/05/17,1.024,
1957/05/18,1.133,
1957/05/19,1.181,
1957/05/20,1.137,
1957/05/21,1.225,
1957/05/22,1.14,
1957/05/23,1.088,
1957/05/24,1.174,
1957/05/25,1.121,
1957/05/26,1.201,
1957/05/27,1.234,
1957/05/28,1.183,
1957/05/29,1.102,
1957/05/30,0.965,
1957/05/31,0.98,
1957/06/01,0.932,
1957/06/02,0.962,
1957/06/03,1.05,
1957/06/04,0.989,
1957/06/05,1.032,
1957/06/06,1.093,
1957/06/07,1.127,
1957/06/08,1.201,
1957/06/09,1.082,
1957/06/10,1.044,
1957/06/11,1.168,
1957/06/12,1.078,
1957/06/13,1.054,
1957/06/14,1.068,
1957/06/15,0.981,
1957/06/16,1.048,
